County,HOUSING OCCUPANCY Total housing units,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE 1-unit, detached","UNITS IN STRUCTURE 1-unit, attached",UNITS IN STRUCTURE 2 units,UNITS IN STRUCTURE 3 or 4 units,UNITS IN STRUCTURE 5 to 9 units,UNITS IN STRUCTURE 10 to 19 units,UNITS IN STRUCTURE 20 or more units,YEAR STRUCTURE BUILT Built 2020 or later,YEAR STRUCTURE BUILT Built 2010 to 2019,YEAR STRUCTURE BUILT Built 2000 to 2009,YEAR STRUCTURE BUILT Built 1990 to 1999,YEAR STRUCTURE BUILT Built 1980 to 1989,YEAR STRUCTURE BUILT Built 1970 to 1979,YEAR STRUCTURE BUILT Built 1960 to 1969,YEAR STRUCTURE BUILT Built 1950 to 1959,YEAR STRUCTURE BUILT Built 1940 to 1949,YEAR STRUCTURE BUILT Built 1939 or earlier,BEDROOMS Total housing units,BEDROOMS No bedroom,BEDROOMS 1 bedroom,BEDROOMS 2 bedrooms,BEDROOMS 3 bedrooms,BEDROOMS 4 bedrooms,BEDROOMS 5 or more bedrooms,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2021 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2018 to 2020,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2017,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1989 and earlier,SELECTED CHARACTERISTICS Occupied housing units,VALUE Owner-occupied units (total num units),"VALUE (owner occupied) Less than $50,000","VALUE (owner occupied) $50,000 to $99,999","VALUE (owner occupied) $100,000 to $149,999","VALUE (owner occupied) $150,000 to $199,999","VALUE (owner occupied) $200,000 to $299,999","VALUE (owner occupied) $300,000 to $499,999","VALUE (owner occupied) $500,000 to $999,999","VALUE (owner occupied) $1,000,000 or more",VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage
Hays,110248,110248,73618,3625,1651,1880,3307,5647,14543,15083,35942,23240,10441,11162,7234,1864,2607,856,1819,110248,1499,14285,17134,42036,30705,4589,105917,67818,38099,105917,40893,22347,23534,11425,4295,3423,105917,67818,3050,2078,1164,1814,7246,26657,19046,6763,428400,67818,47645,20173
Henderson,42610,42610,28146,286,332,1397,141,465,259,1649,4451,7086,6476,9183,6446,3336,1876,1632,475,42610,1025,3794,10485,19317,5821,2168,33957,26630,7327,33957,8533,5664,9214,4458,4160,1928,33957,26630,3871,4008,1798,3010,4868,5346,2783,946,212500,26630,10345,16285
Hidalgo,314617,314617,200735,6042,13265,16551,10500,12630,9044,10986,62296,87805,56454,43364,30486,10368,5927,3019,3912,314617,8291,29726,82552,135089,51244,7715,277001,184249,92752,277001,70319,49636,61332,50875,26179,18660,277001,184249,20106,41271,30053,29503,38222,19580,4631,883,151200,184249,70565,113684
Hood,29446,29446,21386,522,170,64,120,937,1496,2355,5291,5374,4254,6150,3923,1028,315,214,542,29446,971,955,5540,16215,5496,269,25660,20647,5013,25660,7002,3975,6585,5171,2116,811,25660,20647,1079,1318,455,1154,4670,7105,4216,650,350100,20647,11548,9099
Hunt,44276,44276,30699,1068,665,1345,1650,779,1086,2483,7107,6073,6951,6711,6979,4254,1161,1231,1326,44276,1445,2893,9245,21616,8600,477,40067,28720,11347,40067,10491,8746,9649,5611,3716,1854,40067,28720,2398,2430,1679,3509,8052,5502,4190,960,259800,28720,14370,14350
Jefferson,110636,110636,80192,3106,1769,3841,7225,3233,7455,3085,11629,15503,8373,12082,20420,21275,11127,3227,3915,110636,2633,9779,32800,49326,14204,1894,94005,60906,33099,94005,26598,15438,19488,14339,8656,9486,94005,60906,4629,11491,8706,12342,11813,10049,1438,438,171000,60906,26016,34890
Johnson,73192,73192,49987,1197,2001,2481,739,920,2872,7765,13702,14209,10856,10375,8490,2868,2360,1429,1138,73192,1466,4224,10408,38534,15993,2567,65934,49512,16422,65934,18135,16470,14311,9251,3931,3836,65934,49512,1489,3509,2214,3952,12659,15790,9170,729,310900,49512,30900,18612
Kaufman,55790,55790,45201,972,259,1386,1050,646,672,12191,12298,13752,5332,4793,2691,1440,1285,220,1788,55790,209,2725,7239,24614,18122,2881,52963,43208,9755,52963,17818,14414,9457,5801,3749,1724,52963,43208,1211,1890,1596,1796,8843,21617,5415,840,347000,43208,28983,14225
Liberty,37530,37530,20802,193,1011,268,438,739,115,4721,7376,6761,5997,3819,4042,1853,1144,872,945,37530,237,3146,6624,19648,6943,932,32959,26630,6329,32959,9170,6017,7670,5515,2707,1880,32959,26630,2155,2317,4784,3946,7834,4123,1382,89,201200,26630,14145,12485
Lubbock,142808,142808,90626,5273,5950,5973,8372,7020,12248,6781,21299,20327,15026,18406,21753,16441,15872,4056,2847,142808,1814,16289,37994,64364,20721,1626,128053,66968,61085,128053,51470,25628,20558,15764,7195,7438,128053,66968,4815,7689,7228,10962,18270,13553,4114,337,213900,66968,34079,32889
